Step_T,Path_ID,Simulated_Rate
0,0,0.045
1,0,0.04567811400547574
2,0,0.045992757014974406
3,0,0.04582479913488713
4,0,0.044675149402759975
5,0,0.04410888119458399
6,0,0.044156796907060404
7,0,0.04490996209139988
8,0,0.04482589769541961
9,0,0.04361886381483452
10,0,0.04375641762592842
11,0,0.04338241533586406
12,0,0.04477757935952714
13,0,0.045538765030319166
14,0,0.04567358891002686
15,0,0.04648286557502715
16,0,0.046848520104255796
17,0,0.047157710019709816
18,0,0.045798743988359446
19,0,0.04531796406044222
20,0,0.04573930215081183
21,0,0.045962925532450336
22,0,0.04634357295273821
23,0,0.04704685429694076
24,0,0.047524709046085835
25,0,0.046881587357602804
26,0,0.04536953467880987
27,0,0.046499572387946705
28,0,0.04608999067884418
29,0,0.04609216484953915
30,0,0.04506679495988581
31,0,0.045772094761178744
32,0,0.045411591125521365
33,0,0.04629351523924394
34,0,0.04625644573515841
35,0,0.046790086283833694
36,0,0.04615385109527456
37,0,0.04479462114816045
38,0,0.04450281352442587
39,0,0.04412279278640374
40,0,0.04487255024364406
41,0,0.04423544083613432
42,0,0.043536531886037025
43,0,0.04455145065482116
44,0,0.04497632260920544
45,0,0.04518761116405701
46,0,0.044800845177412556
47,0,0.04381846887420787
48,0,0.046006010394187856
49,0,0.0452528171718685
50,0,0.04603847111658644
51,0,0.04728851671861391
52,0,0.04711629313858
53,0,0.04773577344262699
54,0,0.046796606086547114
55,0,0.044354411482653656
56,0,0.04457252667740928
57,0,0.04457398731853138
58,0,0.044759058933296236
59,0,0.04512743233643303
60,0,0.04400255870317669
61,0,0.04244937101077727
62,0,0.042632633584388076
63,0,0.042165983622220835
64,0,0.04252393102583306
65,0,0.043554997223290176
66,0,0.04261572480182187
67,0,0.04293907071100837
68,0,0.04340763926398099
69,0,0.04342045260390023
70,0,0.04339840024221874
71,0,0.04300708075566988
72,0,0.04321445013877728
73,0,0.04323852754042152
74,0,0.0432676137966732
75,0,0.04339063239501302
76,0,0.04464129731513866
77,0,0.04436397078833656
78,0,0.04293670515436246
79,0,0.04365088622442566
80,0,0.04483713847055991
81,0,0.04470392880719935
82,0,0.04508632109881396
83,0,0.04468251970295549
84,0,0.04485976206899139
85,0,0.044390817924430934
86,0,0.04454379077918067
87,0,0.04486109113544317
88,0,0.04391979443547583
89,0,0.0433867100734168
90,0,0.04177242036246745
91,0,0.04132208544764966
92,0,0.04187931888824032
93,0,0.039674166673627574
94,0,0.04142555686764662
95,0,0.04205680180020011
96,0,0.0412905028961927
97,0,0.04160074235881529
98,0,0.04088977101910567
99,0,0.04073118396828472
100,0,0.04011177717196834
101,0,0.040326613539211104
102,0,0.040965974225725676
103,0,0.041368394427569996
104,0,0.0407858192437801
105,0,0.04096884813197184
106,0,0.04041781517524874
107,0,0.03863795285606424
108,0,0.039305325401885735
109,0,0.037808346687986674
110,0,0.038517058068629394
111,0,0.04043527914582954
112,0,0.04131591883392646
113,0,0.04082320814368455
114,0,0.04078475886252312
115,0,0.04003024363226608
116,0,0.03775720459718311
117,0,0.0384179879033424
118,0,0.037527073967304786
119,0,0.03844563493547483
120,0,0.03862105689434537
121,0,0.03913248596725088
122,0,0.038724747179735786
123,0,0.03951050990749892
124,0,0.03878315827061348
125,0,0.03926690022511332
126,0,0.03918287192471672
127,0,0.03984057436816238
128,0,0.04016650581874286
129,0,0.040714740831979276
130,0,0.03959401602834114
131,0,0.03831006294573987
132,0,0.038531842652004315
133,0,0.038358006556550604
134,0,0.03764377721432726
135,0,0.03665912411671757
136,0,0.03695869554980924
137,0,0.036109827940261637
138,0,0.03615312456100404
139,0,0.036268233422721056
140,0,0.03737112260932065
141,0,0.03599297396880079
142,0,0.036728807484600196
143,0,0.03689910572752618
144,0,0.035890041038755836
